,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE
0,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Observatorio La Mata Norte,380.340.240,-0.7130020,2014-05
1,30,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2014-07
2,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2015-09
3,1,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2016-08
4,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-04
5,20,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-04
6,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-04
7,2,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-04
8,5,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
9,1,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
10,1,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
11,8,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
12,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-03
13,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
14,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
15,15,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-07
16,1,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
17,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
18,8,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
19,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
