,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE
0,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Observatorio La Mata Norte,380.340.240,-0.7130020,2014-05
1,2,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2016-05
2,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Laguna de Torrevieja,379.944.852,-0.7083263,2016-08
3,1,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2016-08
4,1,Alicante,Lagunas De La Mata Y Torrevieja PNat -- Observatorio El Chorlitejo,380.427.567,-0.6713438,2018-04
5,5,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-04
6,4,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
7,4,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-11
8,4,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
9,6,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
10,3,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
11,4,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
12,6,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
13,4,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-11
14,20,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-07
15,4,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
16,4,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
17,20,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
18,20,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2018-08
19,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Observatorio La Mata Norte,380.340.240,-0.7130020,2019-04
20,7,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-08
21,X,Alicante,Lagunas de la Mata y Torrevieja PNat--Observatorio La Mata Norte,380.340.240,-0.7130020,2019-04
22,10,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-05
23,30,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
24,50,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
25,30,Alicante,Lagunas de la Mata y Torrevieja PNat--Área General,380.238.218,-0.6834269,2019-07
